int,string,string,string,string,double,int
id,first_name,last_name,email,gender,ratio,overall_score
1,Venita,Gower,vgower0@360.cn,Female,40.46981,47
2,Roanne,Howsam,rhowsam1@baidu.com,Female,14.49089,94
3,Bert,Meaden,bmeaden2@example.com,Female,7.28271,68
4,Gayler,Durante,gdurante3@earthlink.net,Male,32.03529,31
5,Oona,Tottman,otottman4@live.com,Female,70.75891,38
6,Jason,Dreamer,jdreamer5@topsy.com,Male,47.59731,5
7,Jamima,Sheepy,jsheepy6@uol.com.br,Female,42.45167,34
8,Rocky,McCorkell,rmccorkell7@un.org,Male,23.80403,91
9,Chalmers,De Biasio,cdebiasio8@imdb.com,Male,30.19946,95
10,Leontine,Littlemore,llittlemore9@slideshare.net,Female,68.77693,53
11,Antoine,Babonau,ababonaua@chron.com,Male,63.90112,20
12,Leonidas,Speachley,lspeachleyb@google.es,Male,96.80323,13
13,Christoffer,Foggo,cfoggoc@webeden.co.uk,Male,87.47834,82
14,Hunter,Heningham,hheninghamd@soundcloud.com,Male,58.15797,75
15,Lennard,Dumblton,ldumbltone@mozilla.com,Male,21.69365,100
16,Brooke,Tertre,btertref@reverbnation.com,Male,83.1577,91
17,Ludvig,Bratley,lbratleyg@csmonitor.com,Male,10.22127,87
18,Dare,Stevings,dstevingsh@merriam-webster.com,Male,77.89719,20
19,Lawrence,Nottle,lnottlei@foxnews.com,Male,34.97349,23
20,Garik,Kinzel,gkinzelj@clickbank.net,Male,66.75794,6
21,Osbourn,MacArthur,omacarthurk@hatena.ne.jp,Male,60.9118,19
22,Danit,Romney,dromneyl@ovh.net,Female,8.73723,95
23,Talyah,Vasyutin,tvasyutinm@yelp.com,Female,90.56558,33
24,Kata,Gillbey,kgillbeyn@businessinsider.com,Female,36.66537,46
25,Bennie,Whetton,bwhettono@bbb.org,Male,26.01227,88
26,Davy,Burgen,dburgenp@cdc.gov,Male,79.62553,89
27,Don,Davenhall,ddavenhallq@nba.com,Male,23.75953,91
28,Kevyn,Birkenshaw,kbirkenshawr@pinterest.com,Female,12.00777,52
29,Rufus,Geram,rgerams@elpais.com,Male,98.74481,37
30,Emlen,Wickmann,ewickmannt@wsj.com,Male,61.7213,20
